NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
FCOA1|02442500       |176BE182|HUN|33 34 30   |088 05 00   |LUXAPALLILA CREEK AT MILLPORT AL
FRYA1|03575700       |DDAC2696|HUN|34 37 26   |086 32 28   |ALDRIDGE CREEK NEAR FARLEY AL
GERA1|03572900       |245066F6|HUN|34 22 42   |085 59 25   |TOWN CREEK NEAR GERALDINE AL
GURA1|03575272       |17DEA480|HUN|34 40 55   |086 26 54   |PEEVEY CREEK NEAR GURLEY ALA
HSTA1|0357479650     |1770E5B4|HUN|34 57 39   |086 27 49   |HESTER CREEK AT BUDDY WILLIAMSON RD NR PLEVNA AL
MADA1|03575830       |176F4440|HUN|34 41 50   |086 42 00   |INDIAN CREEK NEAR MADISON AL
MASA1|0357587400     |1785D5FA|HUN|34 46 17   |086 35 32   |PINHOOK C AT MASTIN LAKE RD AT HUNTSVILLE ALA
MHWA1|342718087285601|17BFC1AE|HUN|34 27 18   |087 28 56   |WELL LAW 3 342718087285601 LAWRENCE CNTY AL
OKWA1|0357591500     |1779001A|HUN|34 44 58   |086 37 31   |BROGLAN BRANCH AT OAKWOOD AVENUE AT HUNTSVILLE AL
PATA1|03575980       |DDAC9518|HUN|34 41 33   |086 37 39   |MCDONALD CREEK AT PATTON ROAD NR HUNTSVILLE AL
RBYA1|03592000       |244F8408|HUN|34 26 38   |088 06 56   |BEAR CREEK AT REDBAY AL
SBHA1|03575950       |DDABE1BC|HUN|34 41 24   |086 35 47   |HUNTSVILLE SP BR AT JOHNSON ROAD HUNTSVILLE AL
SHEA1|0357568980     |17799578|HUN|34 39 51   |086 33 15   |ALDRIDGE C AT SHERWOOD DR NR HUNTSVILLE ALA
SSRA1|03572690       |163763EA|HUN|34 29 55   |085 55 47   |SOUTH SAUTY CREEK NEAR RAINSVILLE ALA
TONA1|0357568650     |DDAC866E|HUN|34 41 53   |086 33 02   |ALDRIDGE CREEK AT TONEY DRIVE AT HUNTSVILLE AL.
WCHA1|0357587140     |17DE826C|HUN|34 47 34   |086 35 21   |EAST FORK PINHOOK CR AT WINCHESTER RD AT HUNTSVIL
WDVA1|03574500       |DE21563E|HUN|34 37 27   |086 18 23   |PAINT ROCK RIVER NEAR WOODVILLE AL
WHIA1|03575500       |DE11C52C|HUN|34 34 18   |086 33 29   |TENNESSEE RIVER AT WHITESBURG AL
WLDA1|02466030       |DE27E57E|LIX|32 46 40   |087 50 26   |BLACK WARRIOR RIVER AT SELDEN L & D NEAR EUTAW AL
AGRA1|02479500       |DE244288|MOB|30 51 44   |088 25 04   |ESCATAWPA RIVER NEAR WILMER AL
BASA1|02470072       |DE155574|MOB|31 51 50   |087 44 50   |BASSETT CREEK AT US HIGHWAY 43 NR THOMASVILLE AL.
BCKA1|02470630       |DE05B118|MOB|31 00 10   |088 00 40   |MOBILE RIVER AT BARRY STEAMPLANT NR BUCKS (INTAKE)
BCMA1|02480020       |16D0F136|MOB|30 38 21   |088 23 35   |BIG CREEK NEAR SEVEN HILLS AL
BCNA1|02374745       |1766348C|MOB|31 07 47   |087 05 14   |BURNT CORN CREEK AT STATE HWY 41 NEAR BREWTON AL.
BRDA1|02369800       |DD0267A2|MOB|31 01 39   |086 42 36   |BLACKWATER RIVER NEAR BRADLEY AL
BRNA1|02371500       |DD40E79E|MOB|31 34 24   |086 15 06   |CONECUH RIVER AT BRANTLEY AL
BWMA1|02374700       |17661260|MOB|31 06 03   |087 04 08   |MURDER CREEK AT STATE HWY 41 AT BREWTON AL.
BWTA1|02374250       |17DEF4FC|MOB|31 04 01   |087 03 42   |CONECUH RIVER AT STATE HWY 41 NEAR BREWTON AL.
CHBA1|02429540       |DF1349BC|MOB|31 21 49   |087 45 54   |ALABAMA RIVER AT CHOCTAW BLUFF AL.
CHKA1|02471001       |163CFBF2|MOB|30 48 10   |088 08 36   |CHICKASAW CREEK NEAR KUSHLA AL
CLBA1|02428401       |16381D3A|MOB|31 36 48   |087 33 02   |ALABAMA RIVER BEL CLAIB. L&D NR MONROEVILLE AL.
CLDA1|02469761       |17D87226|MOB|31 45 30   |088 07 45   |TOMBIGBEE R AT COFFEEVILLE L&D NR COFFEEVILLE AL.
CLPA1|02428400       |DE247712|MOB|31 36 54   |087 33 02   |ALABAMA RIVER AT CLAIBORNE L&D NEAR MONROEVILLE
DIXA1|02416360       |DE27B502|MOB|32 47 07.63|085 38 34.22|LITTLE SANDY CREEK AT CAMP HILL AL
EVMA1|02374500       |1765C306|MOB|31 25 06   |086 59 12   |MURDER CREEK NEAR EVERGREEN AL
FLMA1|02375000       |178193CA|MOB|31 00 38   |087 15 46   |BIG ESCAMBIA CREEK AT FLOMATON AL
FLWA1|02471078       |DE243418|MOB|30 30 02   |088 10 53   |FOWL RIVER AT HALF-MILE RD NEAR LAURENDINE AL.
FRVA1|02479980       |1629B8A6|MOB|30 46 48   |088 19 08   |CROOKED CREEK NEAR FAIRVIEW AL.
FSHA1|02378500       |17DF206E|MOB|30 32 43   |087 47 55   |FISH RIVER NEAR SILVER HILL AL
FSMA1|0237854520     |DF11D7F8|MOB|30 28 28.81|087 48 09.52|FISH RIVER NEAR MARLOW AL
GSHA1|02378185       |DF135418|MOB|30 16 46   |087 41 12   |INTRACOASTAL WATERWAY - GULF SHORES AL.
LRYA1|02470050       |1716F43E|MOB|31 29 09   |087 54 32   |TOMBIGBEE RIVER AT STEAMPLANT NR LEROY AL
MAGA1|02378300       |17D854CA|MOB|30 24 23   |087 44 13   |MAGNOLIA RIVER AT US 98 NEAR FOLEY ALABAMA
MRBA1|02470629       |DD53E70E|MOB|31 00 56   |088 01 15   |MOBILE RIVER AT RIVER MILE 31.0 AT BUCKS AL
MRFA1|02427506       |DE153092|MOB|32 06 00   |087 23 52   |ALABAMA RIVER BELOW MILLERS FERRY L&D NR CAMDEN AL
NANA1|02469525       |DE154602|MOB|32 07 48   |088 02 28   |TOMBIGBEE RIVER NEAR NANAFALIA AL.
PTAA1|02372422       |176ED3D8|MOB|31 21 40   |086 31 11   |CONECUH RIVER BEL PT A DAM NR RIVER FALLS AL.
PTSA1|02372250       |17BC03BE|MOB|31 35 46   |086 24 20   |PATSALIGA CREEK NEAR BRANTLEY AL
PURA1|02456000       |17325012|MOB|33 44 25   |086 48 45   |TURKEY CREEK AT MORRIS AL
RVFA1|02372430       |DDABF2CA|MOB|31 20 53   |086 31 46   |CONECUH RIVER AT RIVER FALLS ALABAMA
SATA1|02469800       |DE2353CA|MOB|31 44 39   |088 01 21   |SATILPA CREEK NEAR COFFEEVILLE AL
SMSA1|02480002       |17D8E744|MOB|30 43 33   |088 16 35   |HAMILTON CREEK AT SNOW ROAD NEAR SEMMES AL.
SNOA1|02427250       |1715C6AA|MOB|31 59 46   |087 04 06   |PINE BARREN CREEK NEAR SNOW HILL AL.
SRSA1|02377750       |163D8F98|MOB|30 31 05   |087 27 46   |STYX RIVER AT SEMINOLE ALA
STNA1|02374950       |17DF6364|MOB|31 07 46   |087 22 14   |BIG ESCAMBIA CR AT SARDINE BR NR STANLEY CROSSROAD
STXA1|02377570       |DE246464|MOB|30 36 20   |087 32 50   |STYX RIVER NEAR ELSANOR AL.
SXLA1|02377560       |17B5230E|MOB|30 38 13   |087 36 26   |STYX R NR LOXLEY AT SMITHS SIDING ALA
TUKA1|02469500       |175E53BC|MOB|32 11 00   |088 10 12   |TUCKABUM CREEK NEAR BUTLER AL
UPBA1|02373000       |1765F69C|MOB|31 27 13   |086 47 13   |SEPULGA RIVER NEAR MCKENZIE AL
WILA1|02479945       |DE2451FE|MOB|30 51 21   |088 20 02   |BIG CREEK AT COUNTY RD 63 NEAR WILMER AL.
WLFA1|02378170       |17DEB7F6|MOB|30 23 17   |087 39 10   |WOLF CREEK BELOW FOLEY ALA
ARTA1|02363000       |17BD5138|TAE|31 35 41   |085 46 59   |PEA RIVER NEAR ARITON AL
BELA1|02361500       |DDABC750|TAE|31 09 33   |085 47 04   |CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL
CDRA1|02343805       |1743F7BC|TAE|31 14 56.7 |085 06 23.8 |CHATTAHOOCHEE RIVER AT MILE 46 NEAR COLUMBIA ALA
COLA1|02343801       |17D4C034|TAE|31 15 33.3 |085 06 39.8 |CHATTAHOOCHEE RIVER NEAR COLUMBIA AL
ELBA1|02364000       |17B421F4|TAE|31 24 48   |086 03 47   |PEA RIVER AT ELBA AL.
FPHA1|023432415      |DE2EC5CE|TAE|31 37 19.9 |085 03 33   |CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES GA
GNVA1|02362000       |1765D070|TAE|31 02 28   |085 51 08   |CHOCTAWHATCHEE RIVER NEAR GENEVA ALABAMA
LDBA1|02362240       |DD056596|TAE|31 16 20   |085 57 30   |LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE AL.
NEWA1|02361000       |17DEC166|TAE|31 20 34   |085 36 38   |CHOCTAWHATCHEE RIVER NEAR NEWTON AL.
SSNA1|02364500       |DD535480|TAE|31 06 45   |086 05 58   |PEA RIVER NEAR SAMSON AL
BBPA4|07364185       |DE2756F0|JAN|33 14 08   |091 32 08   |BAYOU BARTHOLOMEW NEAR PORTLAND AR
EUGA4|07369680       |CE5EE10A|JAN|33 06 01   |091 15 16   |BAYOU MACON AT EUDORA AR
ACGA4|07078296       |CE71301E|LZK|34 01 35   |091 14 48   |AR POST CANAL AT LOCK NO. 2 NEAR TICHNOR AR
ALLA4|07060728       |DE17B372|LZK|35 56 21   |092 06 51   |WHITE RIVER AT ALLISON AR
ANEA4|07361500       |DD07F500|LZK|34 02 20   |093 25 05   |ANTOINE RIVER AT ANTOINE AR
APBA4|07055660       |DDEDF1D8|LZK|36 01 21   |093 21 17   |BUFFALO RIVER AT PONCA AR
APLA4|07263012       |CE5CEA2C|LZK|34 57 24   |092 59 06   |FOURCHE LAFAVE RIVER NEAR APLIN AR
APTA4|07055680       |DDEE1524|LZK|36 03 33   |093 08 16   |BUFFALO RIVER AT PRUITT AR
AUGA4|07074850       |CE701408|LZK|35 17 40   |091 23 39   |WHITE RIVER NEAR AUGUSTA AR
BAGA4|07061000       |CE701ADA|LZK|35 45 37   |091 38 28   |WHITE RIVER AT BATESVILLE AR
BBMA4|07364150       |DD8650BA|LZK|33 37 40   |091 26 45   |BAYOU BARTHOLOMEW NEAR MCGEHEE AR
BCMA4|072632962      |D12025F8|LZK|34 52 52   |092 40 52   |BRINGLE CREEK AT MARTINDALE AR
BGBA4|07364133       |1661F204|LZK|33 51 59   |091 39 22   |BAYOU BARTHOLOMEW AT GARRETT BRIDGE AR
BKRA4|07072500       |CE5C2F32|LZK|36 06 09   |091 05 52   |BLACK RIVER AT BLACK ROCK AR
BNRA4|07058980       |DD0BE7EA|LZK|36 25 22   |092 07 06   |BENNETTS RIVER AT VIDETTE AR
BONA4|07258500       |CE5D05F6|LZK|35 06 25   |093 55 25   |PETIT JEAN RIVER NEAR BOONEVILLE AR
BOXA4|07055646       |DD527096|LZK|35 56 20   |093 24 18   |BUFFALO RIVER NEAR BOXLEY AR
BSWA4|07054527       |DE3DC55E|LZK|36 20 37   |092 34 27   |WHITE RIVER BELOW BULL SHOALS DAM NEAR FAIRVIEW
BTNA4|07363000       |17EDC018|LZK|34 34 04   |092 36 37   |SALINE RIVER AT BENTON AR
CAMA4|07362000       |CE40BC52|LZK|33 35 47   |092 49 05   |OUACHITA RIVER AT CAMDEN AR
CAUA4|07247000       |DD07D3EC|LZK|34 55 08   |094 17 58   |POTEAU RIVER AT CAUTHRON AR
CCBA4|07261090       |DE10D4A0|LZK|35 16 15   |092 37 49   |CYPRESS CREEK NR BIRDTOWN AR
CCCA4|254720080253002|171D8106|LZK|25 47 15.5 |080 25 25.9 |G  -3676
CCRA4|07074886       |DF088894|LZK|35 17 18.59|091 27 42.03|CUTOFF CREEK NEAR RIO VISTA AR
CDDA4|07359610       |DDBFA012|LZK|34 22 58   |093 36 22   |CADDO RIVER NEAR CADDO GAP AR
CDOA4|07263877       |DE3BD6E6|LZK|34 22 36.5 |091 42 38.9 |TEMPLE ISLAND HW/TW NEAR HUMPHREY AR
CIGA4|07075300       |CE70C260|LZK|35 35 13   |092 27 05   |SOUTH FORK OF LITTLE RED RIVER AT CLINTON AR
CLRA4|07060500       |174A9406|LZK|36 07 00   |092 08 35   |WHITE RIVER AT CALICO ROCK AR
CNTA4|07260640       |CE5CF95A|LZK|35 04 27   |093 12 00   |PETIT JEAN RIVER NEAR CENTERVILLE AR
CPCA4|07077555       |DD0AE510|LZK|35 02 08   |091 19 21   |CACHE RIVER NEAR COTTON PLANT AR
CRGA4|07064000       |CE5CD164|LZK|36 24 07   |090 32 29   |BLACK RIVER NEAR CORNING AR
CRKA4|07256500       |CE70B4F0|LZK|35 28 06   |093 27 47   |SPADRA CREEK AT CLARKSVILLE AR
DANA4|07260500       |CE7032E4|LZK|35 03 31   |093 23 44   |PETIT JEAN RIVER AT DANVILLE AR
DARA4|07258000       |DE4B0522|LZK|35 13 34   |093 08 58   |ARKANSAS RIVER AT DARDANELLE AR
DBGA4|07077000       |CE6A42B8|LZK|34 47 40   |091 26 41   |WHITE RIVER AT DEVALLS BLUFF AR
DBSA4|07364130       |17068530|LZK|33 57 47.25|091 41 32.81|DEEP BAYOU NEAR STAR CITY AR
DEWA4|07076517       |174817E6|LZK|35 26 17   |091 44 45   |LITTLE RED RIVER NEAR DEWEY AR
DRDA4|07257995       |CE7116F2|LZK|35 14 50   |093 10 23   |LAKE DARDANELLE AT DARDANELLE AR
DTLA4|07263620       |CE688C80|LZK|34 40 52   |092 09 05   |AR RIVER@DAVID D TERRY L&D BELOW LITTLE ROCK AR
DVRA4|07257006       |CE68E7B4|LZK|35 30 21   |093 10 53   |BIG PINEY CREEK AT HIGHWAY 164 NEAR DOVER AR
EFGA4|07074420       |CE5CE4FE|LZK|35 45 56   |091 18 01   |BLACK RIVER AT ELGIN FERRY AR
EGPA4|07077380       |DD0B0418|LZK|35 51 27   |090 55 59   |CACHE RIVER AT EGYPT AR
FCDA4|07263605       |17CC1564|LZK|34 43 07   |092 12 48   |FOURCHE CREEK AT LINDSEY ST. E OF LITTLE ROCK AR
FCUA4|07263555       |178E35A0|LZK|34 42 25   |092 20 40   |FOURCHE CREEK AT UNIV. AVENUE AT LITTLE ROCK AR
FSXA4|07060710       |173E3468|LZK|35 59 30   |092 12 50   |NORTH SYLAMORE CREEK NEAR FIFTY SIX AR
GAPA4|07355870       |16FB9696|LZK|34 29 02.8 |094 07 34.1 |GAP CR NR WOLF PEN GAP REC AREA NR NUNLEY AR
GCAA4|07358550       |DE14E400|LZK|34 30 32   |093 00 33   |GULPHA CREEK AT HOT SPRINGS AR
GCRA4|07358570       |167632B0|LZK|34 29 38.4 |093 00 23.4 |GULPHA CR AT RIDGEWAY ST AT HOT SPRINGS AR
GEOA4|07076750       |CE7009AC|LZK|35 07 44   |091 26 59   |WHITE RIVER AT GEORGETOWN AR
GFWA4|07076000       |DE3D9522|LZK|35 31 02   |091 59 50   |LITTLE RED RIVER NEAR HEBER SPRINGS
GLCA4|07074888       |DF089BE2|LZK|35 12 02.26|091 26 02.86|GLAISE CREEK NEAR RIO VISTA AR
GRVA4|07261500       |CE5C4AD4|LZK|34 52 21   |093 39 26   |FOURCHE LAFAVE RIVER NEAR GRAVELLY AR
GUYA4|07261000       |DD85E43A|LZK|35 17 55   |092 24 14   |CADRON CREEK NEAR GUY AR
HASA4|07055780       |170263F8|LZK|35 58 59.3 |093 02 33.9 |BUFFALO RIVER AT CARVER ACCESS NR HASTY AR
HDYA4|07069305       |DDEF3132|LZK|36 18 49   |091 28 58   |SPRING RIVER AT SPRING STREET BRIDGE AT HARDY AR
HOLA4|07263000       |DD1BC698|LZK|34 54 43   |093 03 22   |SOUTH FOURCHE LAFAVE RIVER NEAR HOLLIS AR
HRRA4|07056700       |DDBFB364|LZK|36 04 04   |092 34 39   |BUFFALO RIVER NEAR HARRIET AR
HSEA4|07358257       |1774F3F8|LZK|34 31 25   |093 03 16   |HOT SPRNGS CR US OF T.E. AT GLADE ST AT HOT SP.AR
HSXA4|07358284       |DD0C062C|LZK|34 30 10   |093 03 02   |HOT SPRINGS CR DS OF GRAND AVE AT HOT SPRINGS AR
HTVA4|07260673       |CE68F4C2|LZK|35 19 29   |092 52 23   |WEST FORK POINT REMOVE CREEK NEAR HATTIEVILLE AR
HUSA4|07263115       |CE5C1AA8|LZK|35 00 43   |092 43 24   |FOURCHE LA FAVE RIVER NEAR HOUSTON AR
IMBA4|07069500       |CE708FB8|LZK|36 12 20   |091 10 18   |SPRING RIVER AT IMBODEN AR
JUDA4|07076634       |CE5C62EA|LZK|35 16 03   |091 38 23   |LITTLE RED RIVER AT JUDSONIA AR
LADA4|07263706       |CE689FF6|LZK|34 14 53   |091 54 20   |AR RIVER @ LOCK AND DAM 4 NEAR PINE BLUFF AR
LANA4|07360200       |DE3FC0AA|LZK|34 18 42   |093 53 59   |LITTLE MISSOURI RIVER NEAR LANGLEY AR
LITA4|07263500       |17347630|LZK|34 44 59   |092 16 09   |ARKANSAS RIVER AT LITTLE ROCK AR
LKCA4|07263265       |16376D38|LZK|34 58 10.76|092 24 11.84|LAKE CONWAY NEAR MAYFLOWER AR
LMRA4|07257200       |CE68DCFC|LZK|35 27 00   |093 20 17   |LITTLE PINEY CREEK NEAR LAMAR AR
LNDA4|07263640       |CE689124|LZK|34 24 47   |092 06 07   |AR RIVER @ LOCK AND DAM 5 NEAR WRIGHT AR
LONA4|07264000       |DE4E529E|LZK|34 44 12   |091 54 57   |BAYOU METO NEAR LONOKE AR
LRPA4|07064040       |DE4FB396|LZK|36 17 49.8 |090 41 56.7 |LITTLE RIVER NEAR PEACH ORCHARD AR
LUPA4|07263882       |DE3CB134|LZK|34 15 05.7 |091 38 08.5 |LOWER VALLIER(LITBAYMETO)HW/TW NR LODGE CORNERAR
MAUA4|07263300       |173DE50E|LZK|34 51 47   |092 29 07   |MAUMELLE RIVER AT MAUMELLE DAM AT NATURAL STEPSAR
MBCA4|07059450       |DD0BF49C|LZK|36 21 27   |092 06 45   |BIG CREEK NEAR ELIZABETH AR
MBDA4|07077700       |CE16236E|LZK|35 15 07   |091 06 43   |BAYOU DEVIEW NEAR MORTON AR
META4|07264500       |CE3C23D2|LZK|34 27 15   |091 36 58   |BAYOU METO NR STUTTGART AR
MMLA4|072632966      |1781D0C0|LZK|34 52 31   |092 39 14   |LAKE MAUMELLE AT STATE HWY 10 NEAR WYE AR
MMSA4|07069190       |DE43B20A|LZK|36 29 53   |091 32 08   |MAMMOTH SPRING AT MAMMOTH SPRING
MOCA4|07362500       |DF02B28E|LZK|33 47 32   |092 20 00   |MORO CREEK NEAR FORDYCE AR
MOIA4|07356000       |DDBF9588|LZK|34 36 36   |093 41 51   |OUACHITA RIVER NEAR MOUNT IDA AR
MOLA4|07260660       |CE711820|LZK|35 07 26   |092 47 11   |AR RIVER @ DAM NO.9 NEAR OPPELO AR
MORA4|07260800       |168792A6|LZK|35 07 37   |092 43 54   |ARKANSAS RIVER NEAR MORRILTON AR
MSMA4|07069220       |17B6119A|LZK|36 27 37   |091 31 36   |SPRING RIVER NEAR MAMMOTH SPRING AR
NAGA4|07265283       |CE68AA6C|LZK|33 59 20   |091 18 47   |AR RIVER @ DAM NO.2 NEAR GILLETT AR
NOGA4|07078285       |CE68B7C8|LZK|34 01 15   |091 11 08   |WHITE RIVER AT AR POST CANAL NEAR NADY AR
NPTA4|07074500       |167B8258|LZK|35 36 19   |091 17 20   |WHITE RIVER AT NEWPORT AR
NUNA4|323026092403201|16FB7564|LZK|32 30 26   |092 40 32   |RUSTON OFFICE LOWER MISSISSIPPI-GULF WSC
OMBA4|07054410       |DE1407F2|LZK|36 26 58   |093 04 30   |BEAR CREEK NEAR OMAHA AR
PBFA4|07263650       |DE3F05B4|LZK|34 17 25   |091 59 44   |ARKANSAS RIVER AT PINE BLUFF AR
PFAA4|07265280       |CE2BF010|LZK|33 58 43   |091 23 04   |ARKANSAS RIVER AT PENDLETON AR
PKGA4|07074000       |CE70921C|LZK|36 06 40   |091 26 58   |STRAWBERRY RIVER NEAR POUGHKEEPSIE AR
POCA4|07069000       |CE5CDFB6|LZK|36 15 15   |090 58 13   |BLACK RIVER AT POCAHONTAS AR
PRCA4|072632968      |DD8600C6|LZK|34 52 26   |092 38 02   |LK MAUMELLE AT MOUTH OF PIGEON ROOST CR NR WYE AR
PTTA4|07077500       |CE1616F4|LZK|35 16 11   |091 14 11   |CACHE RIVER AT PATTERSON AR
RCIA4|072632982      |D120368E|LZK|34 55 48   |092 35 35   |REECE CREEK AT LITTLE ITALY AR
RCKA4|07055875       |DD1C01B2|LZK|35 47 50   |092 55 44   |RICHLAND CREEK NEAR WITTS SPRING AR
RDTA4|07359002       |DD0C8038|LZK|34 25 34   |092 53 27   |OUACHITA RIVER AT REMMEL DAM ABOVE JONES MILL AR
RFMA4|07362587       |DD85F74C|LZK|34 47 51   |092 56 02   |ALUM FORK SALINE RIVER NEAR REFORM AR
ROCA4|07263580       |DE4E41E8|LZK|34 43 27   |092 21 32   |ROCK CREEK AT 36TH STREET AT LITTLE ROCK AR
RRCA4|342649091251916|168400CA|LZK|34 27 53.04|091 25 15.37|03S04W03DCA16 RICE RESEA
RVSA4|07072000       |CE70816A|LZK|36 20 47   |091 06 51   |ELEVEN POINT RIVER NEAR RAVENDEN SPRINGS AR
RYEA4|07363500       |1662D3E6|LZK|33 42 03   |092 01 33   |SALINE RIVER NEAR RYE AR
SAFA4|07362579       |17DFD0EA|LZK|34 47 44   |093 00 25   |SOUTH ALUM CREEK NR JESSIEVILLE AR
SDTA4|07069295       |17B602EC|LZK|36 21 08   |091 38 01   |SOUTH FORK SPRING RIVER AT SADDLE AR
SFGA4|07075270       |DE421008|LZK|35 34 11   |092 37 19   |SOUTH FORK OF LITTLE RED RIVER NEAR SCOTLAND AR
SHCA4|07363400       |17E5C4BE|LZK|34 13 43   |092 22 21   |HURRICANE CREEK BELOW SHERIDAN AR
SHEA4|07363200       |16FD9658|LZK|34 06 58   |092 24 20   |SALINE RIVER NEAR SHERIDAN AR
SHWA4|07363054       |17C411C2|LZK|34 29 56   |092 33 46   |SALINE RIVER NEAR SHAW AR
SILA4|07056515       |DF00B77A|LZK|35 56 24   |092 42 48   |BEAR CREEK NEAR SILVER HILL AR
SJOA4|07056000       |DDAD11F6|LZK|35 58 59   |092 44 50   |BUFFALO RIVER NEAR ST. JOE AR
SRGA4|07075000       |DE3DA0B8|LZK|35 39 24   |092 17 34   |MIDDLE FORK OF LITTLE RED RIVER AT SHIRLEY AR
STVA4|07257500       |CE68E966|LZK|35 27 59   |093 02 28   |ILLINOIS BAYOU NEAR SCOTTSVILLE AR
SWNA4|07263750       |CE68A4BE|LZK|34 09 50   |091 40 44   |AR RIVER @ LOCK AND DAM 3 NEAR SWAN LAKE AR
TODA4|07261260       |CE687C04|LZK|35 04 38   |092 32 23   |AR RIVER @ TOAD SUCK FERRY DAM NEAR CONWAY AR
TUCA4|07074670       |17E5D7C8|LZK|35 43 35.4 |091 12 01.7 |TUCKERMAN DITCH AT TUCKERMAN AR
ULRA4|07263881       |DE6CA600|LZK|34 16 36.3 |091 38 39.8 |UPPER VALLIER HW/TW NEAR LODGE CORNER AR
VVRA4|07340300       |DDEDE2AE|LZK|34 22 48   |094 14 11   |COSSATOT RIVER NEAR VANDERVOORT AR
WARA4|07364000       |CE41A30C|LZK|33 36 24   |092 00 38   |SALINE RIVER NEAR WARREN AR
WBBA4|07263875       |CE7CB56C|LZK|34 21 32   |091 47 56   |WABBASEKA BAYOU AT WABBASEKA ARK.
WCPA4|07358250       |176FF7CE|LZK|34 30 48.4 |093 04 49.5 |WHITTINGTON CR AT WHITT. PK AT HOT SPRINGS AR
WCRA4|07263884       |DE6C939A|LZK|34 14 46.6 |091 40 09.5 |LWR VALLIER(LGPONDSLOUGH)HW/TW NR NEW GASCONY AR
WCTA4|07358253       |1786E76E|LZK|34 31 01.8 |093 03 27   |WHITTINGTON CR AT TUNNEL ENT AT HOT SPRINGS AR
WLMA4|07263295       |DE3BC590|LZK|34 52 34   |092 46 28   |MAUMELLE RIVER AT WILLIAMS JUNCTION AR
WNOA4|07362591       |DE4791DC|LZK|34 47 52   |092 50 44   |ALUM FORK SALINE RIVER AT WINONA DAM AT REFORM AR
WPGA4|07355860       |16FB85E0|LZK|34 29 09.5 |094 07 04.3 |BOARD CAMP CR NR WOLF PEN GAP REC NR NUNLEY AR
WRNA4|07057370       |DD528012|LZK|36 13 25   |092 18 00   |WHITE RIVER NEAR NORFORK AR
WYEA4|07263296       |17B195BA|LZK|34 52 44   |092 41 08   |MAUMELLE RIVER NEAR WYE AR
YCMA4|072632971      |17EDD36E|LZK|34 53 23   |092 38 48   |YOUNT CREEK NEAR MARTINDALE AR
YEGA4|07055607       |CE70A786|LZK|36 13 49   |092 42 34   |CROOKED CREEK AT KELLY CROSSING AT YELLVILLE AR
COTA4|07047942       |DE3F6052|MEG|35 08 41   |090 52 41   |LANGUILLE RIVER NEAR COLT AR
LCRA4|07040450       |CE4064E8|MEG|35 49 15   |090 25 57   |ST. FRANCIS RIVER AT LAKE CITY AR
MTDA4|07047932       |CE25A404|MEG|35 28 25   |090 47 25   |L'ANGUILLE R NR WHITEHALL AR
RIGA4|07046600       |CE414E2C|MEG|35 40 19   |090 20 17   |RIGHT HAND CHUTE OF LITTLE RIVER @ RIVERVALE AR
SFRA4|07040100       |CE5093F2|MEG|36 27 20   |090 08 16   |ST. FRANCIS RIVER AT ST. FRANCIS AR
DEQA4|07340500       |CE704474|SHV|34 02 42   |094 12 45   |COSSATOT RIVER NEAR DEQUEEN AR
DIRA4|07341000       |DE3FD3DC|SHV|34 05 46   |094 05 06   |SALINE RIVER NEAR DIERKS AR
DQNA4|07339500       |CE704AA6|SHV|34 02 51   |094 24 46   |ROLLING FORK NEAR DEQUEEN AR
FLTA4|07341500       |CE41E006|SHV|33 36 26   |093 48 49   |RED RIVER AT FULTON AR
HRGA4|07340000       |CE705702|SHV|33 55 10   |094 23 12   |LITTLE RIVER NEAR HORATIO AR
INGA4|07337000       |CE702192|SHV|33 33 07   |094 02 28   |RED RIVER AT INDEX AR
LCKA4|07341200       |CE703C36|SHV|33 57 44   |094 03 42   |SALINE RIVER NEAR LOCKESBURG AR
SBFA4|07344370       |1685F2B4|SHV|33 05 22   |093 51 34   |RED RIVER AT SPRING BANK AR
SMKA4|07362100       |16297DB8|SHV|33 22 31   |092 46 36   |SMACKOVER CREEK NEAR SMACKOVER AR
BARA4|07250550       |CE68B91A|TSA|35 20 56   |094 17 54   |AR RIVER AT JAMES W. TRIMBLE L&D NR VAN BUREN AR
BRYA4|07050500       |CE70D116|TSA|36 25 38   |093 37 15   |KINGS RIVER NEAR BERRYVILLE AR
BUSA4|07049698       |DE93F2FA|TSA|36 26 58.4 |093 49 23.4 |WHITE RIVER NEAR BUSCH AR
CAVA4|07194880       |D120401E|TSA|36 16 53   |094 13 40   |OSAGE CREEK NEAR CAVE SPRINGS AR
DMLA4|07196900       |DD07E676|TSA|35 52 48   |094 29 11   |BARON FORK AT DUTCH MILLS AR
DNRA4|07053207       |1777229E|TSA|36 23 22   |093 18 57   |LONG CREEK AT DENVER AR
ELMA4|07195000       |DD8643CC|TSA|36 13 19   |094 17 18   |OSAGE CREEK NEAR ELM SPRINGS AR
FSAA4|07249455       |174C42A0|TSA|35 23 30   |094 25 56   |ARKANSAS RIVER AT FT. SMITH AR.
